"date","new_confirmed","new_deaths","ma_conf","ma_deaths"
2021-04-08,88555,4148,63729.2857142857,2821.57142857143
2021-04-09,88109,3752,66405.5714285714,2957.42857142857
2021-04-10,66553,2377,70291,3024.28571428571
2021-04-11,39175,1858,71270.5714285714,3112.28571428571
2021-04-12,39650,1711,70838.5714285714,3083.57142857143
2021-04-13,82661,3757,70485.5714285714,3039.14285714286
2021-04-14,74604,3445,68472.4285714286,3006.85714285714
2021-04-15,71185,3491,65991,2913
2021-04-16,84387,3336,65459.2857142857,2853.57142857143
2021-04-17,68565,2878,65746.7142857143,2925.14285714286
2021-04-18,38838,1522,65698.5714285714,2877.14285714286
2021-04-19,36522,1756,65251.7142857143,2883.57142857143
2021-04-20,72643,3347,63820.5714285714,2825
2021-04-21,73988,3197,63732.5714285714,2789.57142857143
2021-04-22,48108,2051,60435.8571428571,2583.85714285714
2021-04-23,69281,3042,58277.8571428571,2541.85714285714
2021-04-24,63781,2766,57594.4285714286,2525.85714285714
2021-04-25,33641,1334,56852,2499
2021-04-26,32398,1380,56262.8571428571,2445.28571428571
2021-04-27,75842,3079,56719.8571428571,2407
2021-04-28,77281,3014,57190.2857142857,2380.85714285714
2021-04-29,68614,3032,60119.7142857143,2521
2021-04-30,72008,2861,60509.2857142857,2495.14285714286
2021-05-01,58292,2240,59725.1428571429,2420
2021-05-02,29288,1266,59103.2857142857,2410.28571428571
2021-05-03,38989,1125,60044.8571428571,2373.85714285714
2021-05-04,69535,2979,59143.8571428571,2359.57142857143
2021-05-05,76372,2771,59014,2324.85714285714
2021-05-06,72290,2536,59539.1428571429,2254
2021-05-07,76844,2186,60230,2157.57142857143
2021-05-08,61761,2082,60725.5714285714,2135
2021-05-09,32720,922,61215.8571428571,2085.85714285714
2021-05-10,36301,1110,60831.8571428571,2083.71428571429
2021-05-11,70106,2246,60913.4285714286,1979
2021-05-12,76248,2581,60895.7142857143,1951.85714285714
2021-05-13,80030,2277,62001.4285714286,1914.85714285714
2021-05-14,77616,2173,62111.7142857143,1913
2021-05-15,67649,2001,62952.8571428571,1901.42857142857
2021-05-16,37564,1075,63644.8571428571,1923.28571428571
2021-05-17,35598,1085,63544.4285714286,1919.71428571429
2021-05-18,74805,2451,64215.7142857143,1949
2021-05-19,80263,2500,64789.2857142857,1937.42857142857
2021-05-20,83387,2511,65268.8571428571,1970.85714285714
2021-05-21,76631,2126,65128.1428571429,1964.14285714286
2021-05-22,67896,1726,65163.4285714286,1924.85714285714
2021-05-23,38495,889,65296.4285714286,1898.28571428571
2021-05-24,37480,862,65565.2857142857,1866.42857142857
2021-05-25,74041,2184,65456.1428571429,1828.28571428571
2021-05-26,80245,2463,65453.5714285714,1823
2021-05-27,64531,2101,62759.8571428571,1764.42857142857
2021-05-28,53888,2426,59510.8571428571,1807.28571428571
2021-05-29,75863,1941,60649,1838
2021-05-30,41449,913,61071,1841.42857142857
2021-05-31,36607,966,60946.2857142857,1856.28571428571
2021-06-01,78913,2334,61642.2857142857,1877.71428571429
2021-06-02,96278,2508,63932.7142857143,1884.14285714286
2021-06-03,76067,1914,65580.7142857143,1857.42857142857
2021-06-04,43171,1188,64049.7142857143,1680.57142857143
2021-06-05,61667,1672,62021.7142857143,1642.14285714286
2021-06-06,40343,881,61863.7142857143,1637.57142857143
2021-06-07,39716,1149,62307.8571428571,1663.71428571429
2021-06-08,55713,2648,58993.5714285714,1708.57142857143
2021-06-09,84867,2392,57363.4285714286,1692
2021-06-10,91244,2505,59531.5714285714,1776.42857142857
2021-06-11,86312,2177,65694.5714285714,1917.71428571429
2021-06-12,73773,1974,67424,1960.85714285714
2021-06-13,36984,1120,66944.1428571429,1995
2021-06-14,42692,1020,67369.2857142857,1976.57142857143
2021-06-15,87141,2685,71859,1981.85714285714
2021-06-16,86528,2702,72096.2857142857,2026.14285714286
2021-06-17,76492,2292,69988.8571428571,1995.71428571429
2021-06-18,92889,2451,70928.4285714286,2034.85714285714
2021-06-19,80489,2252,71887.8571428571,2074.57142857143
2021-06-20,44587,1031,72974,2061.85714285714
2021-06-21,45410,981,73362.2857142857,2056.28571428571
2021-06-22,124248,2093,78663.2857142857,1971.71428571429
2021-06-23,77396,2275,77358.7142857143,1910.71428571429
2021-06-24,76624,2038,77377.5714285714,1874.42857142857
2021-06-25,75042,2008,74828,1811.14285714286
2021-06-26,60684,1517,71998.7142857143,1706.14285714286
2021-06-27,31980,721,70197.7142857143,1661.85714285714
2021-06-28,32059,714,68290.4285714286,1623.71428571429
2021-06-29,65955,1938,59962.8571428571,1601.57142857143
2021-06-30,47144,2064,55641.1428571429,1571.42857142857
2021-07-01,61130,1932,53427.7142857143,1556.28571428571
2021-07-02,63572,1876,51789.1428571429,1537.42857142857
2021-07-03,53733,1636,50796.1428571429,1554.42857142857
2021-07-04,25462,771,49865,1561.57142857143
2021-07-05,27935,789,49275.8571428571,1572.28571428571
2021-07-06,61683,1759,48665.5714285714,1546.71428571429
2021-07-07,54167,1585,49668.8571428571,1478.28571428571
2021-07-08,54147,1727,48671.2857142857,1449
2021-07-09,58452,1472,47939.8571428571,1391.28571428571
2021-07-10,44121,1158,46566.7142857143,1323
2021-07-11,19147,564,45664.5714285714,1293.42857142857
2021-07-12,19233,783,44421.4285714286,1292.57142857143
2021-07-13,48566,1659,42547.5714285714,1278.28571428571
2021-07-14,56097,1536,42823.2857142857,1271.28571428571
2021-07-15,54398,1609,42859.1428571429,1254.42857142857
2021-07-16,42915,1388,40639.5714285714,1242.42857142857
2021-07-17,49030,1271,41340.8571428571,1258.57142857143
2021-07-18,16747,481,40998,1246.71428571429
2021-07-19,16756,669,40644.1428571429,1230.42857142857
2021-07-20,31149,1379,38156,1190.42857142857
2021-07-21,55836,1400,38118.7142857143,1171
2021-07-22,48681,1430,37302,1145.42857142857
2021-07-23,107120,1292,46474.1428571429,1131.71428571429
2021-07-24,34648,1081,44419.5714285714,1104.57142857143
2021-07-25,18256,479,44635.1428571429,1104.28571428571
2021-07-26,21442,624,45304.5714285714,1097.85714285714
2021-07-27,43591,1290,47082,1085.14285714286
2021-07-28,47049,1372,45826.7142857143,1081.14285714286
2021-07-29,41321,1342,44775.2857142857,1068.57142857143
2021-07-30,40378,885,35240.7142857143,1010.42857142857
2021-07-31,35088,949,35303.5714285714,991.571428571429
2021-08-01,20353,415,35603.1428571429,982.428571428571
2021-08-02,18875,544,35236.4285714286,971
2021-08-03,32496,1235,33651.4285714286,963.142857142857
2021-08-04,40537,1074,32721.1428571429,920.571428571429
2021-08-05,39484,1126,32458.7142857143,889.714285714286
